"Gameday","Home","Away","GoalsHome","GoalsAway","Season"
1.0,"Bayern München","VfL Wolfsburg",2.0,1.0,"1. Fussball-Bundesliga 2010/2011"
1.0,"TSG 1899 Hoffenheim","Werder Bremen",4.0,1.0,"1. Fussball-Bundesliga 2010/2011"
1.0,"Borussia Mönchengladbach","1. FC Nürnberg",1.0,1.0,"1. Fussball-Bundesliga 2010/2011"
1.0,"1. FC Köln","1. FC Kaiserslautern",1.0,3.0,"1. Fussball-Bundesliga 2010/2011"
1.0,"SC Freiburg","FC St. Pauli",1.0,3.0,"1. Fussball-Bundesliga 2010/2011"
1.0,"Hannover 96","Eintracht Frankfurt",2.0,1.0,"1. Fussball-Bundesliga 2010/2011"
1.0,"Hamburger SV","FC Schalke 04",2.0,1.0,"1. Fussball-Bundesliga 2010/2011"
1.0,"1. FSV Mainz 05","VfB Stuttgart",2.0,0.0,"1. Fussball-Bundesliga 2010/2011"
1.0,"Borussia Dortmund","Bayer 04 Leverkusen",0.0,2.0,"1. Fussball-Bundesliga 2010/2011"
2.0,"1. FC Kaiserslautern","Bayern München",2.0,0.0,"1. Fussball-Bundesliga 2010/2011"
2.0,"FC Schalke 04","Hannover 96",1.0,2.0,"1. Fussball-Bundesliga 2010/2011"
2.0,"Werder Bremen","1. FC Köln",4.0,2.0,"1. Fussball-Bundesliga 2010/2011"
2.0,"VfL Wolfsburg","1. FSV Mainz 05",3.0,4.0,"1. Fussball-Bundesliga 2010/2011"
2.0,"Eintracht Frankfurt","Hamburger SV",1.0,3.0,"1. Fussball-Bundesliga 2010/2011"
2.0,"1. FC Nürnberg","SC Freiburg",1.0,2.0,"1. Fussball-Bundesliga 2010/2011"
2.0,"FC St. Pauli","TSG 1899 Hoffenheim",0.0,1.0,"1. Fussball-Bundesliga 2010/2011"
2.0,"Bayer 04 Leverkusen","Borussia Mönchengladbach",3.0,6.0,"1. Fussball-Bundesliga 2010/2011"
2.0,"VfB Stuttgart","Borussia Dortmund",1.0,3.0,"1. Fussball-Bundesliga 2010/2011"
3.0,"TSG 1899 Hoffenheim","FC Schalke 04",2.0,0.0,"1. Fussball-Bundesliga 2010/2011"
3.0,"Borussia Dortmund","VfL Wolfsburg",2.0,0.0,"1. Fussball-Bundesliga 2010/2011"
3.0,"Hamburger SV","1. FC Nürnberg",1.0,1.0,"1. Fussball-Bundesliga 2010/2011"
3.0,"Borussia Mönchengladbach","Eintracht Frankfurt",0.0,4.0,"1. Fussball-Bundesliga 2010/2011"
3.0,"SC Freiburg","VfB Stuttgart",2.0,1.0,"1. Fussball-Bundesliga 2010/2011"
3.0,"Hannover 96","Bayer 04 Leverkusen",2.0,2.0,"1. Fussball-Bundesliga 2010/2011"
3.0,"Bayern München","Werder Bremen",0.0,0.0,"1. Fussball-Bundesliga 2010/2011"
3.0,"1. FSV Mainz 05","1. FC Kaiserslautern",2.0,1.0,"1. Fussball-Bundesliga 2010/2011"
3.0,"1. FC Köln","FC St. Pauli",1.0,0.0,"1. Fussball-Bundesliga 2010/2011"
4.0,"Eintracht Frankfurt","SC Freiburg",0.0,1.0,"1. Fussball-Bundesliga 2010/2011"
4.0,"Bayern München","1. FC Köln",0.0,0.0,"1. Fussball-Bundesliga 2010/2011"
4.0,"Werder Bremen","1. FSV Mainz 05",0.0,0.0,"1. Fussball-Bundesliga 2010/2011"
4.0,"VfB Stuttgart","Borussia Mönchengladbach",7.0,0.0,"1. Fussball-Bundesliga 2010/2011"
4.0,"VfL Wolfsburg","Hannover 96",0.0,0.0,"1. Fussball-Bundesliga 2010/2011"
4.0,"1. FC Kaiserslautern","TSG 1899 Hoffenheim",2.0,2.0,"1. Fussball-Bundesliga 2010/2011"
4.0,"FC St. Pauli","Hamburger SV",1.0,1.0,"1. Fussball-Bundesliga 2010/2011"
4.0,"FC Schalke 04","Borussia Dortmund",1.0,3.0,"1. Fussball-Bundesliga 2010/2011"
4.0,"Bayer 04 Leverkusen","1. FC Nürnberg",0.0,0.0,"1. Fussball-Bundesliga 2010/2011"
5.0,"1. FSV Mainz 05","1. FC Köln",2.0,0.0,"1. Fussball-Bundesliga 2010/2011"
5.0,"TSG 1899 Hoffenheim","Bayern München",1.0,2.0,"1. Fussball-Bundesliga 2010/2011"
5.0,"Hannover 96","Werder Bremen",4.0,1.0,"1. Fussball-Bundesliga 2010/2011"
5.0,"Bayer 04 Leverkusen","Eintracht Frankfurt",2.0,1.0,"1. Fussball-Bundesliga 2010/2011"
5.0,"Borussia Dortmund","1. FC Kaiserslautern",5.0,0.0,"1. Fussball-Bundesliga 2010/2011"
5.0,"Hamburger SV","VfL Wolfsburg",1.0,3.0,"1. Fussball-Bundesliga 2010/2011"
5.0,"Borussia Mönchengladbach","FC St. Pauli",1.0,2.0,"1. Fussball-Bundesliga 2010/2011"
5.0,"SC Freiburg","FC Schalke 04",1.0,2.0,"1. Fussball-Bundesliga 2010/2011"
5.0,"1. FC Nürnberg","VfB Stuttgart",2.0,1.0,"1. Fussball-Bundesliga 2010/2011"
6.0,"1. FC Köln","TSG 1899 Hoffenheim",1.0,1.0,"1. Fussball-Bundesliga 2010/2011"
6.0,"Bayern München","1. FSV Mainz 05",1.0,2.0,"1. Fussball-Bundesliga 2010/2011"
6.0,"FC Schalke 04","Borussia Mönchengladbach",2.0,2.0,"1. Fussball-Bundesliga 2010/2011"
6.0,"VfB Stuttgart","Bayer 04 Leverkusen",1.0,4.0,"1. Fussball-Bundesliga 2010/2011"
6.0,"Eintracht Frankfurt","1. FC Nürnberg",2.0,0.0,"1. Fussball-Bundesliga 2010/2011"
6.0,"FC St. Pauli","Borussia Dortmund",1.0,3.0,"1. Fussball-Bundesliga 2010/2011"
6.0,"Werder Bremen","Hamburger SV",3.0,2.0,"1. Fussball-Bundesliga 2010/2011"
6.0,"VfL Wolfsburg","SC Freiburg",2.0,1.0,"1. Fussball-Bundesliga 2010/2011"
6.0,"1. FC Kaiserslautern","Hannover 96",0.0,1.0,"1. Fussball-Bundesliga 2010/2011"
7.0,"Hannover 96","FC St. Pauli",0.0,1.0,"1. Fussball-Bundesliga 2010/2011"
7.0,"Hamburger SV","1. FC Kaiserslautern",2.0,1.0,"1. Fussball-Bundesliga 2010/2011"
7.0,"1. FSV Mainz 05","TSG 1899 Hoffenheim",4.0,2.0,"1. Fussball-Bundesliga 2010/2011"
7.0,"Borussia Mönchengladbach","VfL Wolfsburg",1.0,1.0,"1. Fussball-Bundesliga 2010/2011"
7.0,"SC Freiburg","1. FC Köln",3.0,2.0,"1. Fussball-Bundesliga 2010/2011"
7.0,"1. FC Nürnberg","FC Schalke 04",2.0,1.0,"1. Fussball-Bundesliga 2010/2011"
7.0,"VfB Stuttgart","Eintracht Frankfurt",1.0,2.0,"1. Fussball-Bundesliga 2010/2011"
7.0,"Bayer 04 Leverkusen","Werder Bremen",2.0,2.0,"1. Fussball-Bundesliga 2010/2011"
7.0,"Borussia Dortmund","Bayern München",0.0,0.0,"1. Fussball-Bundesliga 2010/2011"
8.0,"1. FC Köln","Borussia Dortmund",1.0,2.0,"1. Fussball-Bundesliga 2010/2011"
8.0,"Bayern München","Hannover 96",3.0,0.0,"1. Fussball-Bundesliga 2010/2011"
8.0,"FC Schalke 04","VfB Stuttgart",2.0,2.0,"1. Fussball-Bundesliga 2010/2011"
8.0,"Werder Bremen","SC Freiburg",2.0,1.0,"1. Fussball-Bundesliga 2010/2011"
8.0,"1. FSV Mainz 05","Hamburger SV",0.0,1.0,"1. Fussball-Bundesliga 2010/2011"
8.0,"FC St. Pauli","1. FC Nürnberg",3.0,2.0,"1. Fussball-Bundesliga 2010/2011"
8.0,"VfL Wolfsburg","Bayer 04 Leverkusen",2.0,3.0,"1. Fussball-Bundesliga 2010/2011"
8.0,"1. FC Kaiserslautern","Eintracht Frankfurt",0.0,3.0,"1. Fussball-Bundesliga 2010/2011"
8.0,"TSG 1899 Hoffenheim","Borussia Mönchengladbach",0.0,1.0,"1. Fussball-Bundesliga 2010/2011"
9.0,"Hamburger SV","Bayern München",0.0,0.0,"1. Fussball-Bundesliga 2010/2011"
9.0,"Eintracht Frankfurt","FC Schalke 04",0.0,0.0,"1. Fussball-Bundesliga 2010/2011"
9.0,"Borussia Mönchengladbach","Werder Bremen",1.0,4.0,"1. Fussball-Bundesliga 2010/2011"
9.0,"SC Freiburg","1. FC Kaiserslautern",2.0,1.0,"1. Fussball-Bundesliga 2010/2011"
9.0,"Hannover 96","1. FC Köln",2.0,1.0,"1. Fussball-Bundesliga 2010/2011"
9.0,"1. FC Nürnberg","VfL Wolfsburg",2.0,1.0,"1. Fussball-Bundesliga 2010/2011"
9.0,"Borussia Dortmund","TSG 1899 Hoffenheim",1.0,1.0,"1. Fussball-Bundesliga 2010/2011"
9.0,"Bayer 04 Leverkusen","1. FSV Mainz 05",0.0,1.0,"1. Fussball-Bundesliga 2010/2011"
9.0,"VfB Stuttgart","FC St. Pauli",2.0,0.0,"1. Fussball-Bundesliga 2010/2011"
10.0,"Bayern München","SC Freiburg",4.0,2.0,"1. Fussball-Bundesliga 2010/2011"
10.0,"Werder Bremen","1. FC Nürnberg",2.0,3.0,"1. Fussball-Bundesliga 2010/2011"
10.0,"VfL Wolfsburg","VfB Stuttgart",2.0,0.0,"1. Fussball-Bundesliga 2010/2011"
10.0,"1. FC Köln","Hamburger SV",3.0,2.0,"1. Fussball-Bundesliga 2010/2011"
