"Gameday","Home","Away","GoalsHome","GoalsAway","Season"
1.0,"VfB Stuttgart","FC Schalke 04",2.0,2.0,"1. Fussball-Bundesliga 2007/2008"
1.0,"Bayern München","FC Hansa Rostock",3.0,0.0,"1. Fussball-Bundesliga 2007/2008"
1.0,"Bayer 04 Leverkusen","Energie Cottbus",0.0,0.0,"1. Fussball-Bundesliga 2007/2008"
1.0,"VfL Bochum","Werder Bremen",2.0,2.0,"1. Fussball-Bundesliga 2007/2008"
1.0,"Hannover 96","Hamburger SV",0.0,1.0,"1. Fussball-Bundesliga 2007/2008"
1.0,"Eintracht Frankfurt","Hertha BSC",1.0,0.0,"1. Fussball-Bundesliga 2007/2008"
1.0,"VfL Wolfsburg","Arminia Bielefeld",1.0,3.0,"1. Fussball-Bundesliga 2007/2008"
1.0,"1. FC Nürnberg","Karlsruher SC",0.0,2.0,"1. Fussball-Bundesliga 2007/2008"
1.0,"Borussia Dortmund","MSV Duisburg",1.0,3.0,"1. Fussball-Bundesliga 2007/2008"
2.0,"Karlsruher SC","Hannover 96",1.0,2.0,"1. Fussball-Bundesliga 2007/2008"
2.0,"FC Schalke 04","Borussia Dortmund",4.0,1.0,"1. Fussball-Bundesliga 2007/2008"
2.0,"Werder Bremen","Bayern München",0.0,4.0,"1. Fussball-Bundesliga 2007/2008"
2.0,"Hertha BSC","VfB Stuttgart",3.0,1.0,"1. Fussball-Bundesliga 2007/2008"
2.0,"Arminia Bielefeld","Eintracht Frankfurt",2.0,2.0,"1. Fussball-Bundesliga 2007/2008"
2.0,"FC Hansa Rostock","1. FC Nürnberg",1.0,2.0,"1. Fussball-Bundesliga 2007/2008"
2.0,"MSV Duisburg","VfL Wolfsburg",1.0,3.0,"1. Fussball-Bundesliga 2007/2008"
2.0,"Hamburger SV","Bayer 04 Leverkusen",1.0,0.0,"1. Fussball-Bundesliga 2007/2008"
2.0,"Energie Cottbus","VfL Bochum",1.0,2.0,"1. Fussball-Bundesliga 2007/2008"
3.0,"VfL Bochum","Hamburger SV",2.0,1.0,"1. Fussball-Bundesliga 2007/2008"
3.0,"VfB Stuttgart","MSV Duisburg",1.0,0.0,"1. Fussball-Bundesliga 2007/2008"
3.0,"Bayern München","Hannover 96",3.0,0.0,"1. Fussball-Bundesliga 2007/2008"
3.0,"Bayer 04 Leverkusen","Karlsruher SC",3.0,0.0,"1. Fussball-Bundesliga 2007/2008"
3.0,"1. FC Nürnberg","Werder Bremen",0.0,1.0,"1. Fussball-Bundesliga 2007/2008"
3.0,"Borussia Dortmund","Energie Cottbus",3.0,0.0,"1. Fussball-Bundesliga 2007/2008"
3.0,"Arminia Bielefeld","Hertha BSC",2.0,0.0,"1. Fussball-Bundesliga 2007/2008"
3.0,"Eintracht Frankfurt","FC Hansa Rostock",1.0,0.0,"1. Fussball-Bundesliga 2007/2008"
3.0,"VfL Wolfsburg","FC Schalke 04",1.0,1.0,"1. Fussball-Bundesliga 2007/2008"
4.0,"FC Schalke 04","Bayer 04 Leverkusen",1.0,1.0,"1. Fussball-Bundesliga 2007/2008"
4.0,"Werder Bremen","Eintracht Frankfurt",2.0,1.0,"1. Fussball-Bundesliga 2007/2008"
4.0,"Hertha BSC","VfL Wolfsburg",2.0,1.0,"1. Fussball-Bundesliga 2007/2008"
4.0,"Hannover 96","VfL Bochum",3.0,2.0,"1. Fussball-Bundesliga 2007/2008"
4.0,"Energie Cottbus","1. FC Nürnberg",1.0,1.0,"1. Fussball-Bundesliga 2007/2008"
4.0,"FC Hansa Rostock","Borussia Dortmund",0.0,1.0,"1. Fussball-Bundesliga 2007/2008"
4.0,"MSV Duisburg","Arminia Bielefeld",3.0,0.0,"1. Fussball-Bundesliga 2007/2008"
4.0,"Hamburger SV","Bayern München",1.0,1.0,"1. Fussball-Bundesliga 2007/2008"
4.0,"Karlsruher SC","VfB Stuttgart",1.0,0.0,"1. Fussball-Bundesliga 2007/2008"
5.0,"Borussia Dortmund","Werder Bremen",3.0,0.0,"1. Fussball-Bundesliga 2007/2008"
5.0,"VfB Stuttgart","Energie Cottbus",3.0,0.0,"1. Fussball-Bundesliga 2007/2008"
5.0,"Bayern München","FC Schalke 04",1.0,1.0,"1. Fussball-Bundesliga 2007/2008"
5.0,"Bayer 04 Leverkusen","VfL Bochum",2.0,0.0,"1. Fussball-Bundesliga 2007/2008"
5.0,"1. FC Nürnberg","Hannover 96",2.0,2.0,"1. Fussball-Bundesliga 2007/2008"
5.0,"Arminia Bielefeld","FC Hansa Rostock",4.0,2.0,"1. Fussball-Bundesliga 2007/2008"
5.0,"Eintracht Frankfurt","Hamburger SV",2.0,1.0,"1. Fussball-Bundesliga 2007/2008"
5.0,"VfL Wolfsburg","Karlsruher SC",1.0,2.0,"1. Fussball-Bundesliga 2007/2008"
5.0,"MSV Duisburg","Hertha BSC",1.0,2.0,"1. Fussball-Bundesliga 2007/2008"
6.0,"VfL Bochum","Eintracht Frankfurt",0.0,0.0,"1. Fussball-Bundesliga 2007/2008"
6.0,"FC Schalke 04","Arminia Bielefeld",3.0,0.0,"1. Fussball-Bundesliga 2007/2008"
6.0,"Werder Bremen","VfB Stuttgart",4.0,1.0,"1. Fussball-Bundesliga 2007/2008"
6.0,"Hamburger SV","1. FC Nürnberg",1.0,0.0,"1. Fussball-Bundesliga 2007/2008"
6.0,"Hertha BSC","Borussia Dortmund",3.0,2.0,"1. Fussball-Bundesliga 2007/2008"
